1771344222.000,71c056,TWB639  ,25.039704,121.344305,32000,33550,372.5,,464,0.776,229.68,,,,,0,0,,253,98,1013.6,,,7115,-33.6,,,1,8,,3,,,A3,,2
1771344227.000,71c300,TWB663  ,25.109206,121.093744,6725,7175,264.4,,278,0.428,229.14,,,,,-1024,-1248,,273,18,1023.2,,,4161,-34.7,,,1,8,,3,,,A3,,2
1771344227.000,71c056,TWB639  ,25.034071,121.337102,32000,33550,372.5,,464,0.776,229.68,,,,,0,-32,,253,98,1013.6,,,7115,-33.1,,,1,8,,3,,,A3,,2
1771344232.000,71c300,TWB663  ,25.107530,121.091620,6675,7125,263.0,,276,0.420,229.16,,,,,-704,-768,,276,18,1023.2,,,4161,-35.4,,,1,8,,3,,,A3,,2
1771344232.000,71c056,TWB639  ,25.028458,121.329803,32000,33550,373.1,,464,0.776,229.57,,,,,0,-32,,253,97,1013.6,,,7115,-35.3,,,1,8,,3,,,A3,,2
1771344237.000,71c300,TWB663  ,25.101929,121.084442,6600,7025,259.7,,272,0.416,229.69,,,,,-512,-544,,275,16,1023.2,,,4161,-33.8,,,1,8,,3,,,A3,,2
1771344237.000,71c056,TWB639  ,25.022827,121.322530,32000,33550,373.1,,464,0.776,229.57,,,,,0,0,,253,97,1013.6,,,7115,-34.0,,,1,8,,3,,,A3,,2
1771344242.000,71c300,TWB663  ,25.097946,121.079254,6550,6975,256.9,,270,0.416,229.74,,,,,-448,-544,,275,16,1023.2,,,4161,-34.8,,,1,8,,3,,,A3,,2
1771344242.000,71c056,TWB639  ,25.017266,121.315388,32000,33550,373.9,,464,0.776,229.66,,,,,0,0,,253,97,1013.6,,,7115,-32.2,,,1,8,,3,,,A3,,2
1771344247.000,71c300,TWB663  ,25.093984,121.074104,6525,6950,256.9,,270,0.416,229.74,,,,,-448,-544,,275,16,1023.2,,,4161,-35.5,,,1,8,,3,,,A3,,2
1771344247.000,71c056,TWB639  ,25.011749,121.308187,32000,33550,373.9,,464,0.776,229.66,,,,,0,0,,253,97,1013.6,,,7115,-31.9,,,1,8,,3,,,A3,,2
1771344252.000,71c300,TWB663  ,25.090213,121.069284,6450,6875,249.6,,270,0.416,229.22,,,,,-960,-544,,275,16,1023.2,,,4161,-35.7,,,1,8,,3,,,A3,,2
1771344252.000,71c056,TWB639  ,25.005798,121.300557,32000,33550,373.9,,464,0.776,229.66,,,,,0,0,,253,97,1013.6,,,7115,-32.4,,,1,8,,3,,,A3,,2
1771344257.000,71c300,TWB663  ,25.087839,121.066278,6400,6825,248.1,,262,0.416,228.92,,,,,-896,-544,,275,16,1023.2,,,4161,-35.9,,,1,8,,3,,,A3,,2
1771344257.000,71c056,TWB639  ,25.001159,121.294504,32000,33550,373.9,,464,0.776,229.66,,,,,0,0,,253,97,1013.6,,,7115,-33.9,,,1,8,,3,,,A3,,2
1771344262.000,71c300,TWB663  ,25.084766,121.062444,6350,6775,245.2,,262,0.396,228.64,,,,,-576,-704,,275,16,1023.2,,,4161,-35.9,,,1,8,,3,,,A3,,2
1771344262.000,71c056,TWB639  ,24.995132,121.286774,32000,33550,373.9,,464,0.776,229.66,,,,,0,0,,253,97,1013.6,,,7115,-34.3,,,1,8,,3,,,A3,,2
1771344267.000,71c300,TWB663  ,25.081182,121.057987,6300,6725,245.2,,262,0.384,228.64,,,,,-576,-352,,275,16,1023.2,,,4161,-35.8,,,1,8,,3,,,A3,,2
1771344267.000,71c056,TWB639  ,24.989381,121.279320,32000,33550,373.9,,466,0.776,229.66,,,,,0,0,,252,98,1013.6,,,7115,-33.4,,,1,8,,3,,,A3,,2
1771344272.000,71c300,TWB663  ,25.081182,121.057987,6300,6725,236.5,,262,0.384,228.08,,,,,-640,-352,,275,16,1023.2,,,4161,-36.0,,,1,8,,3,,,A3,,2
1771344272.000,71c056,TWB639  ,24.983748,121.272065,32000,33550,373.9,,464,0.776,229.66,,,,,0,0,,252,96,1013.6,,,7115,-33.2,,,1,8,,3,,,A3,,2
1771344277.000,71c300,TWB663  ,25.081182,121.057987,6300,6725,232.3,,262,0.384,228.14,,,,,-768,-352,,275,16,1023.2,,,4161,-36.5,,,1,8,,3,,,A3,,2
1771344277.000,71c056,TWB639  ,24.978488,121.265276,32000,33550,373.9,,466,0.776,229.66,,,,,0,0,,252,98,1013.6,,,7115,-33.1,,,1,8,,3,,,A3,,2
1771344282.000,71c300,TWB663  ,25.081182,121.057987,6300,6725,225.2,,262,0.384,228.24,,,,,-832,-352,,275,16,1023.2,,,4161,-36.4,,,1,8,,3,,,A3,,2
1771344282.000,71c056,TWB639  ,24.972622,121.257762,32000,33550,373.1,,464,0.776,229.57,,,,,0,0,,253,97,1013.6,,,7115,-34.4,,,1,8,,3,,,A3,,2
1771344287.000,71c300,TWB663  ,25.081182,121.057987,6300,6725,220.3,,262,0.384,228.50,,,,,-1984,-352,,275,16,1023.2,,,4161,-36.4,,,1,8,,3,,,A3,,2
1771344287.000,71c056,TWB639  ,24.967300,121.250865,32000,33550,373.1,,464,0.776,229.57,,,,,0,0,,253,97,1013.6,,,7115,-34.2,,,1,8,,3,,,A3,,2
